ORIGIN_AIRPORT,DEPARTURE_DELAY,LAT,LON,ABS_DELAY
AZO,3.552119129438717,42.23488,-85.55206,3.552119129438717
BDL,7.60595380110617,41.93887,-72.68323,7.60595380110617
BET,1.7965909090909091,60.77978,-161.838,1.7965909090909091
BFL,5.823325635103926,35.4336,-119.05677,5.823325635103926
BGM,10.61003861003861,42.20848,-75.97961,10.61003861003861
BGR,5.892561983471074,44.80744,-68.82814,5.892561983471074
BHM,9.032906467822986,33.56294,-86.75355,9.032906467822986
BIL,1.4996498599439776,45.80766,-108.54286,1.4996498599439776
BIS,7.085714285714285,46.77411,-100.74672,7.085714285714285
BJI,5.433734939759036,47.50942,-94.93372,5.433734939759036
BLI,-0.06064880112834979,48.79275,-122.53753,0.06064880112834979
BMI,6.700341815419673,40.47799,-88.91595,6.700341815419673
BNA,9.782587214297989,36.12448,-86.67818,9.782587214297989
BOI,8.651038062283737,43.56444,-116.22278,8.651038062283737
BOS,9.605864584520688,42.36435,-71.00518,9.605864584520688
BPT,17.02085620197585,29.95083,-94.02069,17.02085620197585
BQK,8.254587155963304,31.25903,-81.46631,8.254587155963304
BQN,12.376126126126126,18.49486,-67.12944,12.376126126126126
BRD,-0.06529209621993128,46.39786,-94.13723,0.06529209621993128
BRO,5.051655629139073,25.90683,-97.42586,5.051655629139073
BRW,1.646135265700483,71.28545,-156.766,1.646135265700483
BTM,0.6743827160493827,45.9548,-112.49746,0.6743827160493827
BTR,11.009275114155251,30.53316,-91.14963,11.009275114155251
BTV,9.683719322502592,44.473,-73.15031,9.683719322502592
BUF,7.147856623879874,42.94052,-78.73217,7.147856623879874
BUR,6.030415590008613,34.20062,-118.3585,6.030415590008613
BWI,13.341158392434988,39.1754,-76.6682,13.341158392434988
BZN,5.965236893748248,45.7769,-111.15301,5.965236893748248
CAE,10.282213438735178,33.93884,-81.11954,10.282213438735178
CAK,6.157114295234922,40.91631,-81.44247,6.157114295234922
CDC,3.1625874125874125,37.70097,-113.09858,3.1625874125874125
CDV,-3.2618683001531394,60.49183,-145.47765,3.2618683001531394
CEC,17.413793103448278,41.78016,-124.23653,17.413793103448278
CHA,8.086819830713422,35.03527,-85.20379,8.086819830713422
CHO,12.777830412126955,38.13864,-78.45286,12.777830412126955
CHS,8.529817899369984,32.89865,-80.04051,8.529817899369984
CID,9.819830713422007,41.88459,-91.71087,9.819830713422007
CIU,10.748743718592964,46.25075,-84.47239,10.748743718592964
CLD,5.353503184713376,33.12723,-117.27873,5.353503184713376
CLE,8.491439367103554,41.41089,-81.8494,8.491439367103554
CLL,2.8732970027247955,30.58859,-96.36382,2.8732970027247955
CLT,8.438054478626453,35.21401,-80.94313,8.438054478626453
CMH,9.647878992732803,39.99799,-82.89188,9.647878992732803
CMI,7.708582834331337,40.03925,-88.27806,7.708582834331337
CMX,6.612179487179487,47.16842,-88.48906,6.612179487179487
CNY,-6.058536585365854,38.75496,-109.75484,6.058536585365854
COD,7.174578866768759,44.52019,-109.0238,7.174578866768759
COS,9.212734525040627,38.80581,-104.70025,9.212734525040627
COU,14.735788630904723,38.81809,-92.21963,14.735788630904723
CPR,0.9925544100801833,42.90836,-106.46447,0.9925544100801833
CRP,7.948945147679325,27.77036,-97.50122,7.948945147679325
CRW,11.518693596905887,38.37315,-81.59319,11.518693596905887
CSG,5.565504241281809,32.51633,-84.93886,5.565504241281809
CVG,9.449861864320065,39.04614,-84.66217,9.449861864320065
CWA,5.734065934065934,44.77762,-89.66678,5.734065934065934
DAB,5.330872483221476,29.17992,-81.05806,5.330872483221476
DAL,12.017256900212315,32.84711,-96.85177,12.017256900212315
DAY,7.536582459485224,39.90238,-84.21938,7.536582459485224
DBQ,4.834482758620689,42.40296,-90.70917,4.834482758620689
DCA,8.032378355062683,38.85208,-77.03772,8.032378355062683
DEN,11.8360186936113,39.85841,-104.667,11.8360186936113
DFW,11.528819899168871,32.89595,-97.0372,11.528819899168871
DHN,7.762670957361223,31.32134,-85.44963,7.762670957361223
DIK,1.210640608034745,46.79739,-102.80195,1.210640608034745
DLG,0.5584415584415584,59.04541,-158.50334,0.5584415584415584
DLH,8.400119976004799,46.84209,-92.19365,8.400119976004799
DRO,6.573122529644269,37.15152,-107.75377,6.573122529644269
DSM,10.455773955773957,41.53493,-93.66068,10.455773955773957
DTW,9.152796026576464,42.21206,-83.34884,9.152796026576464
DVL,6.004175365344468,48.11425,-98.90878,6.004175365344468
EAU,9.261006289308176,44.86526,-91.48507,9.261006289308176
ECP,5.869125090383225,,,5.869125090383225
EGE,15.744398340248962,39.64257,-106.9177,15.744398340248962
EKO,-3.771760154738878,40.82493,-115.7917,3.771760154738878
ELM,6.39065606361829,42.15991,-76.89144,6.39065606361829
ELP,7.958896016205267,31.80667,-106.37781,7.958896016205267
ERI,7.883098591549296,42.08202,-80.17622,7.883098591549296
ESC,7.226618705035971,45.72267,-87.09373,7.226618705035971
EUG,7.17474096891627,44.12326,-123.21869,7.17474096891627
EVV,7.665860215053764,38.03799,-87.53063,7.665860215053764
EWN,5.405643738977072,35.07297,-77.04294,5.405643738977072
EWR,13.638099867343115,40.6925,-74.16866,13.638099867343115
EYW,6.705220061412487,24.55611,-81.75956,6.705220061412487
FAI,3.4160919540229884,64.81368,-147.85967,3.4160919540229884
FAR,7.110136103151863,46.91935,-96.81499,7.110136103151863
FAT,10.01782890007189,36.77619,-119.71814,10.01782890007189
FAY,9.574165636588381,34.99147,-78.88,9.574165636588381
FCA,1.8435475834578974,48.3114,-114.25507,1.8435475834578974
FLG,4.087523277467412,35.13845,-111.67122,4.087523277467412
FLL,10.71564078629475,26.07258,-80.15275,10.71564078629475
FNT,4.450431034482759,42.9655,-83.74346,4.450431034482759
FSD,9.566274358479644,43.58135,-96.7417,9.566274358479644
FSM,6.924804177545692,35.33659,-94.36744,6.924804177545692
FWA,9.585801137477937,40.97847,-85.19515,9.585801137477937
GCC,1.4827586206896552,44.3489,-105.53936,1.4827586206896552
GCK,6.117370892018779,37.92752,-100.72441,6.117370892018779
GEG,4.9643876149212725,47.61986,-117.53384,4.9643876149212725
GFK,3.03781512605042,47.94926,-97.17611,3.03781512605042
GGG,8.134959349593496,32.38486,-94.71171,8.134959349593496
GJT,2.598026734563972,39.12241,-108.52673,2.598026734563972
GNV,8.749527767283718,29.69006,-82.27178,8.749527767283718
